episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents
60;NonConscientious;5;1;0;-1.000;9;33.265;0.003;3.289;3.688;2.360;17.580
60;Neurotic;0;0;0;-1.000;1;30.981;0.104;4.293;6.764;2.920;4.200
61;Extrovert;0;0;0;-1.000;12;26.334;0.532;2.286;5.397;12.680;31.541
61;Intro_Iso;3;1;1;24.720;5;36.785;1.329;3.150;5.795;3.220;14.780
61;NonConscientious;3;1;0;-1.000;2;54.372;1.390;3.096;5.518;0.720;5.320
61;Neurotic;0;0;0;-1.000;11;19.142;0.851;2.438;5.839;4.000;30.241
62;Extrovert;0;0;0;-1.000;9;26.874;1.011;3.082;7.612;7.720;11.080
62;Intro_Iso;0;0;1;21.100;7;35.715;2.542;3.226;7.136;1.000;8.100
62;NonConscientious;6;2;0;-1.000;14;38.591;0.974;3.300;3.048;1.400;14.200
62;Neurotic;0;0;0;-1.000;8;30.180;0.341;4.035;7.190;2.800;8.060
63;Extrovert;0;0;0;-1.000;4;29.622;0.344;3.415;5.502;8.600;9.200
63;Intro_Iso;2;0;1;20.479;1;35.433;3.000;3.845;6.454;3.020;4.600
63;NonConscientious;3;1;0;-1.000;8;44.175;0.018;3.329;4.252;1.260;13.620
63;Neurotic;1;1;0;-1.000;9;29.457;0.464;3.396;5.376;2.920;16.140
64;Extrovert;0;0;0;-1.000;2;20.054;0.242;3.600;5.598;7.440;5.460
64;Intro_Iso;3;1;1;8.419;1;37.429;3.000;4.124;5.364;0.520;2.980
64;NonConscientious;2;1;0;-1.000;3;32.709;1.486;3.209;4.404;0.420;7.360
64;Neurotic;1;0;0;-1.000;0;15.813;0.369;4.307;7.409;2.240;0.000
65;Extrovert;0;0;0;-1.000;5;32.459;1.359;2.330;5.008;5.860;15.420
65;Intro_Iso;2;1;1;15.440;6;41.396;0.989;2.759;6.159;1.400;9.900
65;NonConscientious;4;1;0;-1.000;8;32.050;0.415;2.126;4.520;1.600;19.220
65;Neurotic;0;0;0;-1.000;5;26.187;0.120;2.908;6.773;2.300;11.560
66;Extrovert;0;0;0;-1.000;3;18.821;0.080;2.852;5.591;2.740;5.480
66;Intro_Iso;4;1;1;2.160;2;35.552;3.000;3.174;6.431;0.020;3.660
66;NonConscientious;2;1;0;-1.000;7;14.655;1.317;2.716;7.525;0.600;10.680
66;Neurotic;0;0;0;-1.000;8;21.801;1.529;2.748;7.026;0.620;11.420
67;Extrovert;0;0;0;-1.000;3;31.517;2.119;2.943;7.546;6.520;21.380
67;Intro_Iso;2;0;0;-1.000;3;26.100;0.828;2.971;8.288;1.820;23.240
67;NonConscientious;4;2;0;-1.000;2;39.145;2.840;3.042;4.045;1.340;3.480
67;Neurotic;0;0;0;-1.000;0;29.957;1.040;4.276;8.635;2.320;2.240
68;Extrovert;0;0;0;-1.000;18;38.424;0.004;2.236;7.355;4.720;16.600
68;Intro_Iso;3;1;1;11.659;9;46.705;3.000;3.011;6.055;0.320;12.360
68;NonConscientious;2;1;0;-1.000;17;36.529;3.000;2.180;6.229;0.720;19.300
68;Neurotic;1;0;0;-1.000;16;24.219;0.949;1.920;5.475;2.020;25.260
69;Extrovert;1;0;0;-1.000;0;11.565;0.700;2.939;3.512;2.320;0.780
69;Intro_Iso;1;1;0;-1.000;3;15.345;1.039;2.705;4.536;0.420;6.220
69;NonConscientious;2;0;0;-1.000;3;19.284;2.316;2.559;5.252;0.320;5.440
69;Neurotic;0;0;0;-1.000;0;14.431;0.454;3.869;7.638;1.020;0.000
70;Extrovert;0;0;0;-1.000;3;17.354;0.572;3.576;7.671;1.640;4.280
70;Intro_Iso;1;0;0;-1.000;3;22.464;0.424;3.558;9.787;0.600;3.100
70;NonConscientious;3;1;0;-1.000;6;20.264;0.395;3.295;4.136;0.300;4.820
70;Neurotic;0;0;0;-1.000;0;12.574;0.910;3.869;8.321;1.700;0.000
71;Extrovert;0;0;0;-1.000;18;30.189;0.544;2.078;6.175;7.540;22.280
71;Intro_Iso;0;0;0;-1.000;7;22.081;0.223;2.574;7.322;3.600;15.700
71;NonConscientious;6;2;0;-1.000;22;42.907;0.115;2.104;3.971;1.800;23.680
71;Neurotic;0;0;0;-1.000;7;22.450;0.783;2.882;7.919;2.900;11.520
72;Extrovert;0;0;0;-1.000;2;25.177;0.654;2.928;6.770;3.880;5.300
72;Intro_Iso;2;0;1;9.620;2;38.940;2.853;3.558;5.623;0.720;3.320
72;NonConscientious;2;1;0;-1.000;4;29.622;1.555;2.668;5.539;0.620;10.960
72;Neurotic;2;1;0;-1.000;6;22.244;1.179;2.717;5.003;1.060;12.680
73;Extrovert;0;0;0;-1.000;9;36.398;0.000;2.589;6.740;6.720;13.660
